"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class"
"3Dimensional Coaching Course for College Credit","3dimensional-coaching-course","236","<img class=""alignnone size-full wp-image-4322"" src=""/wp-content/uploads/2017/01/course_description_small.png"" alt=""Course Description"" width=""317"" height=""43"" />

This self-paced online course takes coaches on a journey towards defining their transformational purpose and creating a plan to fulfill it. Along the way, coaches will discover important principles and learn practical strategies for:
<ul>
 	<li>dealing with the ""entitlement"" mentality</li>
 	<li>intrinsically motivating athletes</li>
 	<li>harnessing the power of emotions</li>
 	<li>fostering higher levels of confidence</li>
 	<li>creating team cohesion</li>
 	<li>effectively setting goals</li>
 	<li>helping athletes develop character</li>
</ul>
<img class=""alignnone size-full wp-image-4322"" src=""http://wsimmons44.staging.wpengine.com/wp-content/uploads/2016/12/start_the_journey_small.png"" alt=""Start the Journey"" width=""432"" height=""43"" /><br>
Click ""Register"" if you have a pre-paid registration code.
<br>
[maxbutton id=""68""]","This online course is self-paced and will thoroughly train coaches to understand the 3D framework. By taking this course, you gain access to:
<ul>
 	<li>25 teaching modules covering 2nd &amp; 3rd dimension topics</li>
 	<li>100+ short teaching videos (7.5 hours total)</li>
 	<li>Practical steps for writing your transformational purpose statement</li>
 	<li>Over 35 level 2 &amp; 3 strategies in lesson plan format</li>
</ul>
<p>To earn 3 Credit Hours for taking 3Dimensional Coaching, additional coursework is required above and beyond the amount required in the <a href=""/course-for-certification/"">course for certification</a>. This extra work utilizes Joe Ehrmann's book <a href=""http://amzn.to/2jNhNgr"" target=""_blank"">InSideOut Coaching</a>.</p>
<p>Upon completion of this course, you will be emailed a copy of your coaching plan. You will also be mailed a hard-copy of your 3Dimensional Coaching certificate that has your personal transformational purpose statement inscribed upon it.</p>
<hr>
You can also enhance your learning experience by taking advantage of the following resource that complements the <b>3Dimensional Coaching</b> course for certification:
<ul>
 	<li><strong>Companion Study Guide:</strong> This spiral-bound book covers all 25 modules and reiterates key teaching points from the online training. This resource provides a handy place to take notes as you journey through the 3D content. It also provides thought provoking questions that are designed to be used in small group settings where the content can be processed and discussed by coaches who are going through it together.
[maxbutton id=""37""]</li>
 	</ul>

<hr />
**Check with your district, club, or governing organization to find out if this course can be counted towards CEU's or other professional development requirements. 
<hr />
<h2>Screenshots of an Example Course Module</h2>
[metaslider id=4926]
","publish","18","2014-11-22 20:28:16","2","open","3dcourse25","no","no","","450","","","","","","","catalog","instock","no","no","","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2017/01/3d_course_for_credit.png","","course","Course for Certification and College Credit","",""
"3Dimensional Coaching","3dimensional-coaching-certification","434","<img class=""alignnone size-full wp-image-4322"" src=""/wp-content/uploads/2017/01/course_description_small.png"" alt=""Course Description"" width=""317"" height=""43"" />

This self-paced online course takes coaches on a journey towards defining their transformational purpose and creating a plan to fulfill it. Along the way, coaches will discover important principles and learn practical strategies for:
<ul>
 	<li>dealing with the ""entitlement"" mentality</li>
 	<li>intrinsically motivating athletes</li>
 	<li>harnessing the power of emotions</li>
 	<li>fostering higher levels of confidence</li>
 	<li>creating team cohesion</li>
 	<li>effectively setting goals</li>
 	<li>helping athletes develop character</li>
</ul>
<img class=""alignnone size-full wp-image-4322"" src=""http://wsimmons44.staging.wpengine.com/wp-content/uploads/2016/12/start_the_journey_small.png"" alt=""Start the Journey"" width=""432"" height=""43"" /><br>
Click ""Register"" if you have a pre-paid registration code.
<br>
[maxbutton id=""68""]
","This online course is self-paced and will thoroughly train coaches to understand the 3D framework. By taking this course, you gain access to:
<ul>
 	<li>25 teaching modules covering 2nd &amp; 3rd dimension topics</li>
 	<li>100+ short teaching videos (7.5 hours total)</li>
 	<li>Practical steps for writing your transformational purpose statement</li>
 	<li>Over 35 level 2 &amp; 3 strategies in lesson plan format</li>
</ul>
Upon completion of this course, you will be emailed a copy of your coaching plan. You will also be mailed a hard-copy of your 3Dimensional Coaching certificate that has your personal transformational purpose statement inscribed upon it.
<hr>
You can enhance your learning experience by taking advantage of the following resource that complements the <b>3Dimensional Coaching</b> course for certification:
<ul>
 	<li><strong>Companion Study Guide:</strong> This spiral-bound book covers all 25 modules and reiterates key teaching points from the online training. This resource provides a handy place to take notes as you journey through the 3D content. It also provides thought provoking questions that are designed to be used in small group settings where the content can be processed and discussed by coaches who are going through it together.
[maxbutton id=""37""]</li>
</ul> 	
<hr />
**Check with your district, club, or governing organization to find out if this course can be counted towards CEU's or other professional development requirements. If you need college credit for taking this course, <a href=""/course-for-credit/"">click here</a>.
<hr />
<h2>Screenshots of an Example Course Module</h2>
[metaslider id=4926]
","publish","15","2014-12-17 14:42:01","2","open","3dcoach24","no","no","","125","","","","","","","catalog","instock","no","no","taxable","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2017/01/3d_certification.png","","course","Course for Certification","",""
"3Dimensional Coaching+ Course","3dimensional-coaching-course-2","714","","<span style=""color: #ff0000;""><strong>Already enrolled?</strong></span> <a href=""3dimensional-coaching-course-2"">Click here</a>

The 3Dimensional Coaching<strong style=""font-size: 150%;"">+</strong> (faith-based) course is designed to empower coaches to develop a 3Dimensional Coaching strategy to capture the hearts of their players and fulfill their transformational purpose in coaching. This particular version of the 3D Coaching content has been developed in partnership with the Fellowship of Christian Athletes.

Participants can elect to take the course for 3 credit hours at the graduate or undergraduate level through ______________ University.  __________’s accreditation information can be found here.

These credit hours can be applied toward an undergraduate or graduate degree per the discretion of the advisor of the degree program.  Please submit this <a href=""/wp-content/uploads/2014/11/3d_coaching_syllabus.pdf"" target=""_blank"">course’s syllabus</a> to the program advisor for approval, prior to paying and registering for this course.

To register for the college credit, please add this course to the shopping cart and complete the checkout process. After your payment is received, you must complete and return the Outreach Enrollment Form to complete your registration. The instructions for returning this form are found in the 1st session of the 3Dimensional Coaching course.

<strong>Required Course Materials</strong>: <a href=""http://www.amazon.com/dp/1439182981/?tag=googhydr-20&amp;hvadid=35052289164&amp;hvpos=1t2&amp;hvexid=&amp;hvnetw=g&amp;hvrand=17941861722896767558&amp;hvpone=&amp;hvptwo=&amp;hvqmt=b&amp;hvdev=c&amp;ref=pd_sl_9jhk4jym2q_b"" target=""_blank"">InSideOut Coaching</a> by Joe Ehrmann

For more information regarding course content/requirements, please contact 3Dimensional Coaching at <a href=""mailto:info@3dinstitute.com"">info@3dinstitute.com</a>.

For questions regarding college credit, email _____________________ at ___________________.

[course_content course_id=""14""]","publish","17","2014-12-29 08:49:45","2","open","3dcoach23","no","no","","450","","","","","","","hidden","instock","no","no","taxable","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2014/12/3dimensional_coaching_course_4.jpg","","course","Course for Certification and College Credit","",""
"3Dimensional Coaching+","3dimensional-coaching-plus-certification","715","<img class=""alignnone size-full wp-image-4322"" src=""/wp-content/uploads/2017/01/course_description_small.png"" alt=""Course Description"" width=""317"" height=""43"" />

This self-paced online course takes coaches on a journey towards defining their transformational purpose and creating a plan to fulfill it. Along the way, coaches will discover important principles and learn practical strategies for:
<ul>
 	<li>dealing with the ""entitlement"" mentality</li>
 	<li>intrinsically motivating athletes</li>
 	<li>harnessing the power of emotions</li>
 	<li>fostering higher levels of confidence</li>
 	<li>creating team cohesion</li>
 	<li>effectively setting goals</li>
 	<li>helping athletes develop character</li>
</ul>
The <b>3Dimensional Coaching</b><img src=""/wp-content/uploads/2017/02/plus_10x13.png"" /> course for certification contains the same modules, learning objectives, videos, quizzes, exercises and planning tools as the standard version. It also provides <b>additional faith-based content</b> at the end of each module provided by FCA, a ""[sg_popup id=1]Level 3 Partner[/sg_popup]"" of the 3D Institute.

<img class=""alignnone size-full wp-image-4322"" src=""http://wsimmons44.staging.wpengine.com/wp-content/uploads/2016/12/start_the_journey_small.png"" alt=""Start the Journey"" width=""432"" height=""43"" /><br>
Click ""Register"" if you have a pre-paid registration code.
<br>
[maxbutton id=""68""]","This online course is self-paced and will thoroughly train coaches to understand the 3D framework. By taking this course, you gain access to:
<ul>
 	<li>25 teaching modules covering 2nd &amp; 3rd dimension topics</li>
 	<li>100+ short teaching videos (7.5 hours total)</li>
 	<li>Practical steps for writing your transformational purpose statement</li>
 	<li>Over 35 level 2 &amp; 3 strategies in lesson plan format</li>
 	<li>20 additional faith-based add-on videos (1.5 hours total)</li>
</ul>
Upon completion of this course, you will be emailed a copy of your coaching plan. You will also be mailed a hard-copy of your 3Dimensional Coaching certificate that has your personal transformational purpose statement inscribed upon it.
<hr>
You can enhance your learning experience by taking advantage of these resources that complement the <b>3Dimensional Coaching</b><img src=""/wp-content/uploads/2017/02/plus_10x13.png"" /> course for certification:
<ul>
 	<li><strong>Companion Study Guide:</strong> This spiral-bound book covers all 25 modules and reiterates key teaching points from the online training. This resource provides a handy place to take notes as you journey through the 3D content. It also provides thought provoking questions that are designed to be used in small group settings where the content can be processed and discussed by coaches who are going through it together.
[maxbutton id=""37""]</li>
 	<li><strong>Companion Bible Study:</strong> This spiral-bound book serves as a discussion guide to help build upon the content of the online training from a faith-based perspective. This resource was produced in partnership with FCA, a ""[sg_popup id=1]Level 3 Partner[/sg_popup]"" of the 3D Institute.
[maxbutton id=""36""]</li>
</ul>
<hr />

**Check with your district, club, or governing organization to find out if this course can be counted towards CEU's or other professional development requirements. If you need college credit for taking this course, <a href=""/course-for-credit/"">click here</a>.

<hr />
<h2>Screenshots of an Example Course Module</h2>
[metaslider id=4864]
","publish","16","2014-12-29 08:52:03","2","open","3dcoach22","no","no","","125","","","","","","","catalog","instock","no","no","none","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2017/01/3d_plus_certification-1.png","","course","Course for Certification","",""
"3D Coaching Booklets - Qty 50","3d-coaching-booklets-qty-50","1951","<img src=""http://wsimmons44.staging.wpengine.com/wp-content/uploads/2017/01/about_this_resource.png"" alt="""" width=""317"" height=""43"" class=""alignnone size-full wp-image-4988"" />
This booklet allows coaches to take notes and follow along with the slides that are presented in a 3D Coaching <a href=""/workshops-professional-development/"">introductory workshop</a>. This 8-page booklet measures 5.5"" X 8.5"" and is printed on 80# premium paper stock. The booklets are saddle stitched and printed in full color. 
<hr>
*This booklet is designed to be used by 3D Coaching <a href=""/certified-presenters/"">certified presenters</a>.
<hr>","","publish","12","2015-09-22 14:57:11","2","closed","3dbokl5021","no","no","","50","","","","","","","catalog","instock","no","no","","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2015/09/presenter_booklet.png","","simple","Presenter Resources","",""
"3D Certification Licenses (Bulk)","3d-certification-licenses-bulk-buy","2032","","The 3Dimensional Coaching certification course is designed to empower coaches to develop a 3Dimensional Coaching strategy to capture the hearts of their players and fulfill their transformational purpose in coaching.

The primary objective is that each coach has a written transformational purpose statement for coaching and year-round strategies in the 2nd &amp; 3rd dimensions to accomplish that stated purpose.

Upon completion of this course, coaches will be mailed a hard-copy of their 3D Coaching certificate with their personalized transformational purpose statement inscribed upon it.

[course_content course_id=""15""]","publish","9","2015-10-27 15:06:09","2","closed","3dlic20","no","yes","","115","","","","","","","hidden","instock","no","no","","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2014/12/3dimensional_coaching_certificate.jpg","","simple","Course for Certification","",""
"Business Cards - Qty 100","business-cards-qty-100","2534","","<strong>Price includes shipping</strong>
","publish","8","2016-02-29 11:23:42","2","closed","3dcard19","no","no","","26","","","","","","","hidden","instock","no","no","","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2016/02/3d_businesscard_ad.jpg","","simple","Presenter Resources","",""
"3D Presenter's School Registration Fee","3d-presenters-school","2970","","Paying for this registration fee will reserve your spot at the November 30-December 1, 2016 training in St. Joseph, MO. Space is limited to 12 attendees.

<strong>Cost includes:</strong> 2 nights hotel, transportation to and from the airport, the training, training resources, and two lunches.","publish","7","2016-06-02 08:49:16","2","open","3dsklreg18","no","no","","600","","","","","","","hidden","instock","no","no","","","","no","","","","","","","http://wsimmons44.staging.wpengine.com/wp-content/uploads/2016/06/presenters_school2.png","","simple","Presenter Resources","",""
"Email Address Renewal","3dinstitute-email-renewal","3242","","Annual Renewal Fee for wsimmons44.staging.wpengine.com email address","publish","5","2016-07-06 12:18:47","2","closed","3demrenwl17","no","no","","60","","","","","","","hidden","instock","no","no","","","","no","","","","","","","","","simple","Presenter Resources","",""
"Email Address Set-Up","email-address-set-up","3926","","Set-up Fee for wsimmons44.staging.wpengine.com email address","publish","4","2016-10-24 15:27:25","2","closed","3demail16","no","no","","70","","","","","","","hidden","instock","no","no","","","","no","","","","","","","","","simple","Presenter Resources","",""
